Datetime,PJME_MW,Log_MW,Log_Diff,Log_Diff_Monthly,day_of_week,month,year,is_weekend,is_holiday,lag_1,lag_7,lag_30,roll_mean_7,roll_std_7
2010-10-11,28948.375,10.273269350164927,0.1562560158057522,0.2318720143022581,0,10,2010,0,1,24760.70833333333,28368.45833333333,27522.33333333333,27672.2619047619,1720.4801735602866
2010-10-12,29643.916666666668,10.2970122119307,0.0237428617657702,0.0579077661400049,1,10,2010,0,0,28948.375,28883.70833333333,26597.916666666668,27780.863095238095,1830.1900031835287
2010-10-13,28258.70833333333,10.249156948659383,-0.047855263271316,-0.1974413894689917,2,10,2010,0,0,29643.916666666668,28608.33333333333,30889.58333333333,27730.916666666664,1808.4864409714353
2010-10-14,28781.70833333333,10.267495337030429,0.0183383883710455,0.0138351554233597,3,10,2010,0,0,28258.70833333333,28649.20833333333,31029.0,27749.845238095233,1820.3541207238382
2010-10-15,28201.375,10.24712601460278,-0.0203693224276495,-0.0013099974016519,4,10,2010,0,0,28781.70833333333,28202.08333333333,30443.20833333333,27749.744047619046,1820.3248111459923
2010-10-16,25621.541666666668,10.151188747983284,-0.0959372666194955,-0.1191132796707474,5,10,2010,1,0,28201.375,25653.416666666668,31157.0,27745.190476190477,1826.47229422885
2010-10-17,25192.20833333333,10.134290032567772,-0.0168987154155111,-0.0249383332448243,6,10,2010,1,0,25621.541666666668,24760.70833333333,31408.5,27806.833333333332,1712.6972644229302
2010-10-18,28153.45833333333,10.245425479781552,0.1111354472137797,0.2673400503125087,0,10,2010,0,0,25192.20833333333,28948.375,26866.33333333333,27693.27380952381,1649.5834157510149
2010-10-19,28577.125,10.260361851602308,0.0149363718207542,-0.01662188842778,1,10,2010,0,0,28153.45833333333,29643.916666666668,27727.70833333333,27540.875,1479.885145537683
2010-10-20,28885.791666666668,10.271105115375416,0.0107432637731097,-0.089016630741403,2,10,2010,0,0,28577.125,28258.70833333333,30636.5,27630.458333333332,1547.9933351737495
2010-10-21,28811.20833333333,10.268519768654569,-0.0025853467208474,0.0288287515906997,3,10,2010,0,0,28885.791666666668,28781.70833333333,29689.041666666668,27634.672619047615,1551.685635742923
2010-10-22,28627.25,10.262114340387605,-0.0064054282669641,-0.1398717344339299,4,10,2010,0,0,28811.20833333333,28201.375,33928.125,27695.5119047619,1585.5870737586508
2010-10-23,26382.875,10.18047040441182,-0.0816439359757854,-0.1292430245563149,5,10,2010,1,0,28627.25,25621.541666666668,35582.125,27804.273809523806,1438.9450558522117
2010-10-24,24893.041666666668,10.122343592261169,-0.0581268121506504,-0.1052342842660074,6,10,2010,1,0,26382.875,25192.20833333333,37298.41666666666,27761.535714285714,1530.9571062342811
2010-10-25,28505.95833333333,10.257868408733328,0.1355248164721576,0.2005417267154534,0,10,2010,0,0,24893.041666666668,28153.45833333333,34950.541666666664,27811.89285714285,1551.6544272886538
2010-10-26,29312.25,10.285760796367615,0.0278923876342904,0.2609626950991952,1,10,2010,0,0,28505.95833333333,28577.125,27684.25,27916.91071428571,1634.731315424415
2010-10-27,30613.25,10.329188200756144,0.0434274043885256,-0.0885759303077744,2,10,2010,0,0,29312.25,28885.791666666668,31590.83333333333,28163.690476190473,1912.2104281596287
2010-10-28,29405.83333333333,10.28894834634399,-0.0402398544121531,-0.1075624228410152,3,10,2010,0,0,30613.25,28811.20833333333,33790.833333333336,28248.636904761905,1958.4186035982118
2010-10-29,27773.166666666668,10.23182560572864,-0.05712274061535,0.0304838287001896,4,10,2010,0,0,29405.83333333333,28627.25,30956.5,28126.624999999996,1957.504205981885
2010-10-30,26207.166666666668,10.173788189240469,-0.0580374164881725,-0.1402966604729556,5,10,2010,1,0,27773.166666666668,26382.875,33610.625,28101.523809523813,1984.5310966397135
2010-10-31,25443.33333333333,10.144209036124408,-0.0295791531160602,0.0768225530520521,6,10,2010,1,0,26207.166666666668,24893.041666666668,30218.08333333333,28180.1369047619,1842.0342403918717
2010-11-01,29513.58333333333,10.292605888329833,0.1483968522054244,0.3226953488855546,0,11,2010,0,0,25443.33333333333,28505.95833333333,25384.58333333333,28324.083333333336,1909.8611036373215
2010-11-02,30511.08333333333,10.325845284564224,0.0332393962343928,0.0583202791265122,1,11,2010,0,0,29513.58333333333,29312.25,24755.83333333333,28495.345238095237,2061.010988562438
2010-11-03,30538.75,10.326751648007008,0.0009063634427839,-0.135310390981127,2,11,2010,0,0,30511.08333333333,30613.25,28368.45833333333,28484.702380952378,2048.4053683076563
2010-11-04,30164.916666666668,10.314434828287478,-0.0123168197195298,-0.0303166244910446,3,11,2010,0,0,30538.75,29405.83333333333,28883.70833333333,28593.14285714286,2123.9942629324178
2010-11-05,29477.791666666668,10.29139243395422,-0.0230423943332578,-0.0134627343336681,4,11,2010,0,0,30164.916666666668,27773.166666666668,28608.33333333333,28836.660714285714,2111.9992783233774
2010-11-06,27749.791666666668,10.23098361163889,-0.0604088223153294,-0.0618365820742656,5,11,2010,1,0,29477.791666666668,26207.166666666668,28649.20833333333,29057.03571428571,1856.9838944582557
2010-11-07,28112.08695652174,10.243954903639288,0.0129712920003974,0.0287012501511298,6,11,2010,1,0,27749.791666666668,25443.33333333333,28202.08333333333,29438.28623188406,1118.5522385491377
2010-11-08,30947.45833333333,10.340046153038902,0.0960912493996133,0.1908103355586501,0,11,2010,0,0,28112.08695652174,29513.58333333333,25653.416666666668,29643.125517598342,1257.323314935493
2010-11-09,29998.0,10.308885991755306,-0.0311601612835961,0.0042585494641773,1,11,2010,0,0,30947.45833333333,30511.08333333333,24760.70833333333,29569.827898550724,1212.4457961314067
2010-11-10,29481.5,10.291518226962696,-0.017367764792608,-0.1736237805983602,2,11,2010,0,0,29998.0,30538.75,28948.375,29418.79218426501,1135.0079384008209
2010-11-11,29782.45833333333,10.301674852640668,0.0101566256779701,-0.0135862360878,3,11,2010,0,1,29481.5,30164.916666666668,29643.916666666668,29364.15527950311,1101.8252361878606
2010-11-12,30052.33333333333,10.310695585312711,0.0090207326720452,0.0568759959433613,4,11,2010,0,0,29782.45833333333,29477.791666666668,28258.70833333333,29446.232660455484,1132.6688274925834
2010-11-13,27397.166666666668,10.218194880703324,-0.0925007046093888,-0.1108390929804343,5,11,2010,1,0,30052.33333333333,27749.791666666668,28781.70833333333,29395.857660455487,1224.7875974878336
2010-11-14,26700.25,10.192428207640386,-0.0257666730629377,-0.0053973506352882,6,11,2010,1,0,27397.166666666668,28112.08695652174,28201.375,29194.16666666666,1545.6447734284045
2010-11-15,29226.58333333333,10.282833962232296,0.0904057545919094,0.186343021211405,0,11,2010,0,0,26700.25,30947.45833333333,25621.541666666668,28948.327380952378,1344.0031674584927
2010-11-16,29778.875,10.301554528492863,0.0187205662605691,0.0356192816760803,1,11,2010,0,0,29226.58333333333,29998.0,25192.20833333333,28917.02380952381,1317.776184212685
2010-11-17,29026.625,10.2759687912177,-0.0255857372751648,-0.1367211844889446,2,11,2010,0,0,29778.875,29481.5,28153.45833333333,28852.041666666664,1296.3425941969729
2010-11-18,30007.20833333333,10.309192909559988,0.0332241183422876,0.0182877465215334,3,11,2010,0,0,29026.625,29782.45833333333,28577.125,28884.148809523806,1325.6786628607465
2010-11-19,30315.20833333333,10.319404790767663,0.0102118812076756,-0.000531382565434,4,11,2010,0,0,30007.20833333333,30052.33333333333,28885.791666666668,28921.702380952378,1367.3543729232556
2010-11-20,28167.916666666668,10.245938902390677,-0.0734658883769885,-0.0708805416561411,5,11,2010,1,0,30315.20833333333,27397.166666666668,28811.20833333333,29031.809523809523,1250.1377634408605
2010-11-21,27484.5,10.22137748838834,-0.0245614140023349,-0.0181559857353708,6,11,2010,1,0,28167.916666666668,26700.25,28627.25,29143.845238095233,1020.3920411588264
2010-11-22,29534.791666666668,10.293324225938454,0.0719467375501139,0.1535906735258994,0,11,2010,0,0,27484.5,29226.58333333333,26382.875,29187.875,1031.1500605341141
2010-11-23,29383.916666666668,10.288202751484954,-0.0051214744534995,0.0530053376971508,1,11,2010,0,0,29534.791666666668,29778.875,24893.041666666668,29131.452380952378,1003.8666441585717
2010-11-24,30067.45833333333,10.311198747412908,0.0229959959279533,-0.1125288205442043,2,11,2010,0,0,29383.916666666668,29026.625,28505.95833333333,29280.14285714286,1061.197891901104
2010-11-25,27737.95833333333,10.230557091064073,-0.0806416563488365,-0.108534043983127,3,11,2010,0,1,30067.45833333333,30007.20833333333,29312.25,28955.964285714286,1145.3465611077029
2010-11-26,27713.291666666668,10.229667420649296,-0.0008896704147751,-0.0443170748033008,4,11,2010,0,0,27737.95833333333,30315.20833333333,30613.25,28584.2619047619,1048.8457709430525
2010-11-27,29338.5,10.286655925645682,0.0569885049963865,0.0972283594085396,5,11,2010,1,0,27713.291666666668,28167.916666666668,29405.83333333333,28751.4880952381,1064.6004150937144
2010-11-28,29052.08333333333,10.27684547514179,-0.0098104505038918,0.0473122901114582,6,11,2010,1,0,29338.5,27484.5,27773.166666666668,28975.428571428572,906.8533112234609
2010-11-29,32141.416666666668,10.377900716312215,0.1010552411704246,0.1590926576585971,0,11,2010,0,0,29052.08333333333,29534.791666666668,26207.166666666668,29347.80357142857,1509.649469852832
2010-11-30,31138.33333333333,10.346194922225829,-0.0317057940863865,-0.0021266409703262,1,11,2010,0,0,32141.416666666668,29383.916666666668,25443.33333333333,29598.434523809523,1655.2558051824342
